CLARK_Y_AIRFOIL (corde unitaire, incidence nulle)
    1.000000    0.000599
    0.999753    0.000666
    0.999013    0.000863
    0.997781    0.001188
    0.996057    0.001632
    0.993844    0.002187
    0.991144    0.002846
    0.987958    0.003600
    0.984292    0.004447
    0.980147    0.005385
    0.975528    0.006415
    0.970440    0.007542
    0.964888    0.008770
    0.958877    0.010107
    0.952414    0.011556
    0.945503    0.013119
    0.938153    0.014796
    0.930371    0.016580
    0.922164    0.018464
    0.913540    0.020435
    0.904508    0.022478
    0.895078    0.024580
    0.885257    0.026726
    0.875056    0.028907
    0.864484    0.031113
    0.853553    0.033341
    0.842274    0.035590
    0.830656    0.037862
    0.818712    0.040161
    0.806454    0.042489
    0.793893    0.044849
    0.781042    0.047237
    0.767913    0.049649
    0.754521    0.052075
    0.740877    0.054500
    0.726995    0.056907
    0.712890    0.059280
    0.698574    0.061600
    0.684062    0.063851
    0.669369    0.066020
    0.654508    0.068098
    0.639496    0.070080
    0.624345    0.071966
    0.609072    0.073757
    0.593691    0.075455
    0.578217    0.077063
    0.562667    0.078581
    0.547054    0.080006
    0.531395    0.081333
    0.515705    0.082552
    0.500000    0.083654
    0.484295    0.084627
    0.468605    0.085462
    0.452946    0.086155
    0.437333    0.086702
    0.421783    0.087111
    0.406309    0.087392
    0.390928    0.087560
    0.375655    0.087635
    0.360504    0.087636
    0.345492    0.087580
    0.330631    0.087478
    0.315938    0.087335
    0.301426    0.087146
    0.287110    0.086896
    0.273005    0.086565
    0.259123    0.086122
    0.245479    0.085536
    0.232087    0.084777
    0.218958    0.083817
    0.206107    0.082638
    0.193546    0.081232
    0.181288    0.079600
    0.169344    0.077756
    0.157726    0.075723
    0.146447    0.073526
    0.135516    0.071198
    0.124944    0.068764
    0.114743    0.066247
    0.104922    0.063659
    0.095492    0.061003
    0.086460    0.058271
    0.077836    0.055449
    0.069629    0.052518
    0.061847    0.049458
    0.054497    0.046254
    0.047586    0.042904
    0.041123    0.039415
    0.035112    0.035812
    0.029560    0.032133
    0.024472    0.028430
    0.019853    0.024764
    0.015708    0.021197
    0.012042    0.017789
    0.008856    0.014588
    0.006156    0.011627
    0.003943    0.008915
    0.002219    0.006441
    0.000987    0.004170
    0.000247    0.002046
    0.000000    0.000000
    0.000247   -0.002771
    0.000987   -0.005486
    0.002219   -0.008091
    0.003943   -0.010542
    0.006156   -0.012802
    0.008856   -0.014844
    0.012042   -0.016656
    0.015708   -0.018236
    0.019853   -0.019592
    0.024472   -0.020744
    0.029560   -0.021714
    0.035112   -0.022531
    0.041123   -0.023224
    0.047586   -0.023821
    0.054497   -0.024344
    0.061847   -0.024814
    0.069629   -0.025244
    0.077836   -0.025642
    0.086460   -0.026011
    0.095492   -0.026350
    0.104922   -0.026654
    0.114743   -0.026918
    0.124944   -0.027135
    0.135516   -0.027301
    0.146447   -0.027410
    0.157726   -0.027459
    0.169344   -0.027448
    0.181288   -0.027375
    0.193546   -0.027242
    0.206107   -0.027048
    0.218958   -0.026796
    0.232087   -0.026485
    0.245479   -0.026116
    0.259123   -0.025688
    0.273005   -0.025202
    0.287110   -0.024658
    0.301426   -0.024057
    0.315938   -0.023401
    0.330631   -0.022694
    0.345492   -0.021942
    0.360504   -0.021152
    0.375655   -0.020333
    0.390928   -0.019494
    0.406309   -0.018646
    0.421783   -0.017798
    0.437333   -0.016961
    0.452946   -0.016143
    0.468605   -0.015349
    0.484295   -0.014587
    0.500000   -0.013858
    0.515705   -0.013165
    0.531395   -0.012509
    0.547054   -0.011888
    0.562667   -0.011301
    0.578217   -0.010745
    0.593691   -0.010219
    0.609072   -0.009720
    0.624345   -0.009245
    0.639496   -0.008794
    0.654508   -0.008363
    0.669369   -0.007951
    0.684062   -0.007556
    0.698574   -0.007177
    0.712890   -0.006813
    0.726995   -0.006463
    0.740877   -0.006127
    0.754521   -0.005804
    0.767913   -0.005496
    0.781042   -0.005203
    0.793893   -0.004927
    0.806454   -0.004668
    0.818712   -0.004429
    0.830656   -0.004208
    0.842274   -0.004008
    0.853553   -0.003827
    0.864484   -0.003662
    0.875056   -0.003512
    0.885257   -0.003373
    0.895078   -0.003240
    0.904508   -0.003108
    0.913540   -0.002975
    0.922164   -0.002835
    0.930371   -0.002686
    0.938153   -0.002526
    0.945503   -0.002356
    0.952414   -0.002178
    0.958877   -0.001993
    0.964888   -0.001807
    0.970440   -0.001623
    0.975528   -0.001446
    0.980147   -0.001281
    0.984292   -0.001131
    0.987958   -0.000999
    0.991144   -0.000887
    0.993844   -0.000794
    0.996057   -0.000721
    0.997781   -0.000666
    0.999013   -0.000628
    0.999753   -0.000606
    1.000000   -0.000599
