surface,x_mm,y_mm
extrados,0.000000,0.000000
extrados,3.129927,5.577595
extrados,6.658997,7.964668
extrados,10.261635,9.801681
extrados,13.905181,11.339684
extrados,17.576452,12.676155
extrados,21.268387,13.861286
extrados,24.976595,14.925061
extrados,28.698073,15.887160
extrados,32.430628,16.761379
extrados,36.172579,17.557871
extrados,39.922587,18.284399
extrados,43.679558,18.947078
extrados,47.442570,19.550851
extrados,51.210839,20.099794
extrados,54.983684,20.597327
extrados,58.760503,21.046367
extrados,62.540765,21.449433
extrados,66.323992,21.808724
extrados,70.109751,22.126181
extrados,73.897650,22.403532
extrados,77.687330,22.642325
extrados,81.478459,22.843960
extrados,85.270735,23.009707
extrados,89.063873,23.140730
extrados,92.857613,23.238094
extrados,96.651710,23.302782
extrados,100.445937,23.335704
extrados,104.240079,23.337704
extrados,108.033939,23.309569
extrados,111.827328,23.252031
extrados,115.620070,23.165777
extrados,119.412000,23.051452
extrados,123.169997,22.913667
extrados,126.927499,22.756996
extrados,130.684445,22.581967
extrados,134.440777,22.389077
extrados,138.196442,22.178791
extrados,141.951387,21.951548
extrados,145.705563,21.707759
extrados,149.458924,21.447812
extrados,153.211425,21.172068
extrados,156.963024,20.880870
extrados,160.713680,20.574537
extrados,164.463356,20.253368
extrados,168.212014,19.917641
extrados,171.959618,19.567619
extrados,175.706133,19.203543
extrados,179.451528,18.825638
extrados,183.195769,18.434112
extrados,186.938825,18.029156
extrados,190.680666,17.610946
extrados,194.421262,17.179640
extrados,198.160584,16.735385
extrados,201.898602,16.278308
extrados,205.635289,15.808525
extrados,209.370615,15.326137
extrados,213.104553,14.831231
extrados,216.837074,14.323879
extrados,220.568150,13.804141
extrados,224.297752,13.272064
extrados,228.025851,12.727680
extrados,231.752418,12.171010
extrados,235.477423,11.602062
extrados,239.200835,11.020830
extrados,242.922623,10.427298
extrados,246.642755,9.821435
extrados,250.361197,9.203200
extrados,254.077917,8.572539
extrados,257.792879,7.929387
extrados,261.506045,7.273667
extrados,265.217380,6.605290
extrados,268.926844,5.924155
extrados,272.634397,5.230150
extrados,276.339996,4.523152
extrados,280.043598,3.803027
extrados,283.745157,3.069628
extrados,287.444628,2.322800
extrados,291.141959,1.562373
extrados,294.837101,0.788170
extrados,298.530000,-0.000000
intrados,0.000000,0.000000
intrados,4.333323,-4.688652
intrados,8.267503,-6.215002
intrados,12.128115,-7.219513
intrados,15.947819,-7.953234
intrados,19.739798,-8.513644
intrados,23.511113,-8.950934
intrados,27.266155,-9.295088
intrados,31.007927,-9.565787
intrados,34.738622,-9.776826
intrados,38.459921,-9.938359
intrados,42.173163,-10.058148
intrados,45.879442,-10.142309
intrados,49.579680,-10.195784
intrados,53.274661,-10.222649
intrados,56.965066,-10.226324
intrados,60.651497,-10.209728
intrados,64.334485,-10.175377
intrados,68.014508,-10.125473
intrados,71.691999,-10.061954
intrados,75.367350,-9.986550
intrados,79.040920,-9.900808
intrados,82.713041,-9.806128
intrados,86.384015,-9.703782
intrados,90.054127,-9.594932
intrados,93.723637,-9.480642
intrados,97.392790,-9.361898
intrados,101.061813,-9.239608
intrados,104.730921,-9.114616
intrados,108.400311,-8.987708
intrados,112.070172,-8.859620
intrados,115.740680,-8.731036
intrados,119.412000,-8.602600
intrados,123.117253,-8.471086
intrados,126.823001,-8.333229
intrados,130.529305,-8.189556
intrados,134.236223,-8.040564
intrados,137.943808,-7.886720
intrados,141.652113,-7.728460
intrados,145.361187,-7.566196
intrados,149.071076,-7.400317
intrados,152.781825,-7.231184
intrados,156.493476,-7.059139
intrados,160.206070,-6.884501
intrados,163.919644,-6.707569
intrados,167.634236,-6.528623
intrados,171.349882,-6.347923
intrados,175.066617,-6.165712
intrados,178.784472,-5.982214
intrados,182.503481,-5.797638
intrados,186.223675,-5.612174
intrados,189.945084,-5.425998
intrados,193.667738,-5.239270
intrados,197.391666,-5.052133
intrados,201.116898,-4.864718
intrados,204.843461,-4.677140
intrados,208.571385,-4.489498
intrados,212.300697,-4.301881
intrados,216.031426,-4.114360
intrados,219.763600,-3.926997
intrados,223.497248,-3.739835
intrados,227.232399,-3.552910
intrados,230.969082,-3.366241
intrados,234.707327,-3.179836
intrados,238.447165,-2.993690
intrados,242.188627,-2.807786
intrados,245.931745,-2.622093
intrados,249.676553,-2.436572
intrados,253.423083,-2.251166
intrados,257.171371,-2.065813
intrados,260.921455,-1.880433
intrados,264.673370,-1.694938
intrados,268.427156,-1.509228
intrados,272.182853,-1.323190
intrados,275.940504,-1.136702
intrados,279.700152,-0.949629
intrados,283.461843,-0.761826
intrados,287.225622,-0.573134
intrados,290.991541,-0.383387
intrados,294.759649,-0.192406
intrados,298.530000,0.000000
