surface,x_mm,y_mm
extrados,0.000000,0.000000
extrados,4.261005,6.188149
extrados,8.579868,8.557313
extrados,12.913608,10.270236
extrados,17.256464,11.627862
extrados,21.605706,12.747109
extrados,25.959661,13.688219
extrados,30.317160,14.487201
extrados,34.677316,15.167709
extrados,39.039424,15.746333
extrados,43.402897,16.235294
extrados,47.767236,16.643939
extrados,52.132006,16.979641
extrados,56.496825,17.248357
extrados,60.861348,17.455006
extrados,65.225267,17.603718
extrados,69.588300,17.698015
extrados,73.950189,17.740940
extrados,78.310697,17.735152
extrados,82.669604,17.682997
extrados,87.026708,17.586563
extrados,91.381820,17.447723
extrados,95.734763,17.268169
extrados,100.085373,17.049439
extrados,104.433496,16.792936
extrados,108.778989,16.499950
extrados,113.121715,16.171667
extrados,117.461547,15.809187
extrados,121.798367,15.413528
extrados,126.132062,14.985639
extrados,130.462525,14.526404
extrados,134.789658,14.036652
extrados,139.113365,13.517156
extrados,143.401627,12.975274
extrados,147.687565,12.412572
extrados,151.971174,11.829679
extrados,156.252450,11.227188
extrados,160.531387,10.605654
extrados,164.807982,9.965600
extrados,169.082229,9.307518
extrados,173.354122,8.631868
extrados,177.623657,7.939084
extrados,181.890828,7.229572
extrados,186.155628,6.503713
extrados,190.418050,5.761864
extrados,194.678088,5.004356
extrados,198.935734,4.231502
extrados,203.190979,3.443590
extrados,207.443814,2.640888
extrados,211.694229,1.823643
extrados,215.942214,0.992084
extrados,220.187756,0.146419
extrados,224.430844,-0.713161
extrados,228.671463,-1.586485
extrados,232.909599,-2.473397
extrados,237.145235,-3.373760
extrados,241.378353,-4.287455
extrados,245.608936,-5.214377
extrados,249.836962,-6.154439
extrados,254.062411,-7.107569
extrados,258.285257,-8.073713
extrados,262.505477,-9.052829
extrados,266.723043,-10.044893
extrados,270.937927,-11.049896
extrados,275.150097,-12.067841
extrados,279.359521,-13.098749
extrados,283.566165,-14.142653
extrados,287.769990,-15.199603
extrados,291.970959,-16.269660
extrados,296.169029,-17.352902
extrados,300.364156,-18.449418
extrados,304.556293,-19.559312
extrados,308.745393,-20.682704
extrados,312.931403,-21.819723
extrados,317.114268,-22.970515
extrados,321.293931,-24.135237
extrados,325.470332,-25.314061
extrados,329.643409,-26.507170
extrados,333.813094,-27.714763
extrados,337.979319,-28.937049
extrados,342.142011,-30.174250
intrados,0.000000,0.000000
intrados,4.366802,-6.100515
intrados,8.673389,-8.408775
intrados,12.962742,-10.087524
intrados,17.240621,-11.437706
intrados,21.509756,-12.576239
intrados,25.771822,-13.563363
intrados,30.027986,-14.435091
intrados,34.279135,-15.215074
intrados,38.525975,-15.919903
intrados,42.769093,-16.561798
intrados,47.008988,-17.150109
intrados,51.246094,-17.692205
intrados,55.480795,-18.194045
intrados,59.713433,-18.660548
intrados,63.944318,-19.095844
intrados,68.173732,-19.503455
intrados,72.401933,-19.886424
intrados,76.629157,-20.247409
intrados,80.855624,-20.588757
intrados,85.081537,-20.912556
intrados,89.307085,-21.220680
intrados,93.532445,-21.514819
intrados,97.757780,-21.796511
intrados,101.983244,-22.067161
intrados,106.208983,-22.328057
intrados,110.435130,-22.580387
intrados,114.661813,-22.825249
intrados,118.889152,-23.063662
intrados,123.117258,-23.296574
intrados,127.346238,-23.524872
intrados,131.576192,-23.749381
intrados,135.807214,-23.970876
intrados,140.071978,-24.189290
intrados,144.338019,-24.398764
intrados,148.605341,-24.599927
intrados,152.873948,-24.793372
intrados,157.143846,-24.979654
intrados,161.415039,-25.159297
intrados,165.687533,-25.332790
intrados,169.961332,-25.500596
intrados,174.236441,-25.663148
intrados,178.512868,-25.820851
intrados,182.790617,-25.974088
intrados,187.069696,-26.123214
intrados,191.350112,-26.268562
intrados,195.631872,-26.410443
intrados,199.914986,-26.549146
intrados,204.199462,-26.684939
intrados,208.485309,-26.818070
intrados,212.772540,-26.948765
intrados,217.061164,-27.077235
intrados,221.351196,-27.203670
intrados,225.642649,-27.328241
intrados,229.935538,-27.451104
intrados,234.229879,-27.572396
intrados,238.525689,-27.692236
intrados,242.822988,-27.810728
intrados,247.121795,-27.927961
intrados,251.422132,-28.044005
intrados,255.724024,-28.158916
intrados,260.027494,-28.272733
intrados,264.332571,-28.385483
intrados,268.639282,-28.497175
intrados,272.947659,-28.607804
intrados,277.257734,-28.717350
intrados,281.569543,-28.825780
intrados,285.883121,-28.933044
intrados,290.198509,-29.039080
intrados,294.515748,-29.143813
intrados,298.834882,-29.247150
intrados,303.155957,-29.348989
intrados,307.479023,-29.449211
intrados,311.804131,-29.547686
intrados,316.131336,-29.644267
intrados,320.460695,-29.738798
intrados,324.792268,-29.831108
intrados,329.126118,-29.921011
intrados,333.462312,-30.008312
intrados,337.800919,-30.092799
intrados,342.142011,-30.174250
