surface,x_mm,y_mm
extrados,0.000000,0.000000
extrados,3.132527,6.026102
extrados,6.662531,8.559848
extrados,10.265803,10.493561
extrados,13.909813,12.102281
extrados,17.581429,13.492813
extrados,21.273619,14.720160
extrados,24.982007,15.817184
extrados,28.703601,16.805456
extrados,32.436218,17.700101
extrados,36.178182,18.512250
extrados,39.928159,19.250417
extrados,43.685059,19.921307
extrados,47.447966,20.530341
extrados,51.216097,21.081989
extrados,54.988773,21.580003
extrados,58.765399,22.027583
extrados,62.545443,22.427491
extrados,66.328431,22.782139
extrados,70.113932,23.093655
extrados,73.901556,23.363934
extrados,77.690946,23.594675
extrados,81.481774,23.787410
extrados,85.273736,23.943534
extrados,89.066554,24.064319
extrados,92.859965,24.150934
extrados,96.653729,24.204455
extrados,100.447618,24.225878
extrados,104.241423,24.216128
extrados,108.034943,24.176064
extrados,111.827994,24.106488
extrados,115.620401,24.008152
extrados,119.412000,23.881759
extrados,123.169852,23.731612
extrados,126.927212,23.561972
extrados,130.684019,23.373417
extrados,134.440216,23.166489
extrados,138.195749,22.941698
extrados,141.950566,22.699522
extrados,145.704619,22.440412
extrados,149.457861,22.164791
extrados,153.210249,21.873054
extrados,156.961740,21.565576
extrados,160.712294,21.242704
extrados,164.461872,20.904766
extrados,168.210439,20.552066
extrados,171.957958,20.184889
extrados,175.704394,19.803500
extrados,179.449717,19.408143
extrados,183.193892,18.999047
extrados,186.936889,18.576418
extrados,190.678678,18.140449
extrados,194.419229,17.691314
extrados,198.158513,17.229169
extrados,201.896501,16.754155
extrados,205.633165,16.266399
extrados,209.368476,15.766008
extrados,213.102407,15.253078
extrados,216.834928,14.727687
extrados,220.566012,14.189900
extrados,224.295630,13.639766
extrados,228.023753,13.077322
extrados,231.750353,12.502587
extrados,235.475398,11.915571
extrados,239.198859,11.316266
extrados,242.920704,10.704653
extrados,246.640902,10.080698
extrados,250.359419,9.444355
extrados,254.076222,8.795565
extrados,257.791275,8.134253
extrados,261.504542,7.460336
extrados,265.215987,6.773714
extrados,268.925569,6.074277
extrados,272.633249,5.361900
extrados,276.338984,4.636449
extrados,280.042732,3.897774
extrados,283.744446,3.145715
extrados,287.444080,2.380100
extrados,291.141585,1.600742
extrados,294.836909,0.807445
extrados,298.530000,-0.000000
intrados,0.000000,0.000000
intrados,4.330723,-5.217972
intrados,8.263969,-6.969243
intrados,12.123947,-8.146136
intrados,15.943187,-9.023690
intrados,19.734821,-9.708712
intrados,23.505881,-10.256204
intrados,27.260743,-10.699027
intrados,31.002399,-11.058753
intrados,34.733032,-11.350507
intrados,38.454318,-11.585421
intrados,42.167591,-11.772007
intrados,45.873941,-11.916972
intrados,49.574284,-12.025734
intrados,53.269403,-12.102766
intrados,56.959977,-12.151819
intrados,60.646601,-12.176093
intrados,64.329807,-12.178350
intrados,68.010069,-12.161001
intrados,71.687818,-12.126176
intrados,75.363444,-12.075769
intrados,79.037304,-12.011477
intrados,82.709726,-11.934836
intrados,86.381014,-11.847238
intrados,90.051446,-11.749957
intrados,93.721285,-11.644160
intrados,97.390771,-11.530924
intrados,101.060132,-11.411245
intrados,104.729577,-11.286047
intrados,108.399307,-11.156191
intrados,112.069506,-11.022478
intrados,115.740349,-10.885660
intrados,119.412000,-10.746439
intrados,123.117398,-10.601993
intrados,126.823288,-10.449456
intrados,130.529731,-10.289407
intrados,134.236784,-10.122387
intrados,137.944501,-9.948905
intrados,141.652934,-9.769442
intrados,145.362131,-9.584446
intrados,149.072139,-9.394341
intrados,152.783001,-9.199523
intrados,156.494760,-9.000365
intrados,160.207456,-8.797216
intrados,163.921128,-8.590403
intrados,167.635811,-8.380230
intrados,171.351542,-8.166983
intrados,175.068356,-7.950926
intrados,178.786283,-7.732303
intrados,182.505358,-7.511343
intrados,186.225611,-7.288253
intrados,189.947072,-7.063224
intrados,193.669771,-6.836431
intrados,197.393737,-6.608031
intrados,201.118999,-6.378165
intrados,204.845585,-6.146957
intrados,208.573524,-5.914518
intrados,212.302843,-5.680941
intrados,216.033572,-5.446306
intrados,219.765738,-5.210677
intrados,223.499370,-4.974104
intrados,227.234497,-4.736622
intrados,230.971147,-4.498252
intrados,234.709352,-4.259002
intrados,238.449141,-4.018866
intrados,242.190546,-3.777824
intrados,245.933598,-3.535843
intrados,249.678331,-3.292875
intrados,253.424778,-3.048862
intrados,257.172975,-2.803731
intrados,260.922958,-2.557395
intrados,264.674763,-2.309758
intrados,268.428431,-2.060707
intrados,272.184001,-1.810119
intrados,275.941516,-1.557858
intrados,279.701018,-1.303777
intrados,283.462554,-1.047713
intrados,287.226170,-0.789494
intrados,290.991915,-0.528936
intrados,294.759841,-0.265841
intrados,298.530000,0.000000
