surface,x_mm,y_mm
extrados,0.000000,0.000000
extrados,3.312497,4.170138
extrados,6.903049,6.008642
extrados,10.544852,7.442500
extrados,14.215153,8.654940
extrados,17.904768,9.717112
extrados,21.608775,10.665653
extrados,25.324117,11.522450
extrados,29.048700,12.301872
extrados,32.780996,13.013991
extrados,36.519834,13.666220
extrados,40.264282,14.264227
extrados,44.013576,14.812478
extrados,47.767075,15.314582
extrados,51.524233,15.773515
extrados,55.284574,16.191777
extrados,59.047681,16.571496
extrados,62.813183,16.914512
extrados,66.580746,17.222432
extrados,70.350071,17.496672
extrados,74.120884,17.738493
extrados,77.892934,17.949028
extrados,81.665993,18.129296
extrados,85.439847,18.280228
extrados,89.214301,18.402670
extrados,92.989172,18.497401
extrados,96.764291,18.565137
extrados,100.539499,18.606544
extrados,104.314647,18.622236
extrados,108.089598,18.612787
extrados,111.864221,18.578732
extrados,115.638393,18.520572
extrados,119.412000,18.438776
extrados,123.161984,18.337583
extrados,126.911623,18.221208
extrados,130.660876,18.090035
extrados,134.409701,17.944425
extrados,138.158061,17.784718
extrados,141.905921,17.611234
extrados,145.653245,17.424273
extrados,149.400002,17.224116
extrados,153.146160,17.011029
extrados,156.891691,16.785261
extrados,160.636566,16.547043
extrados,164.380757,16.296594
extrados,168.124241,16.034117
extrados,171.866990,15.759803
extrados,175.608983,15.473827
extrados,179.350194,15.176355
extrados,183.090603,14.867536
extrados,186.830188,14.547510
extrados,190.568926,14.216405
extrados,194.306798,13.874337
extrados,198.043783,13.521412
extrados,201.779860,13.157722
extrados,205.515011,12.783353
extrados,209.249214,12.398377
extrados,212.982451,12.002857
extrados,216.714702,11.596846
extrados,220.445946,11.180388
extrados,224.176165,10.753515
extrados,227.905337,10.316253
extrados,231.633443,9.868614
extrados,235.360460,9.410605
extrados,239.086369,8.942221
extrados,242.811147,8.463450
extrados,246.534772,7.974270
extrados,250.257221,7.474650
extrados,253.978470,6.964551
extrados,257.698495,6.443924
extrados,261.417270,5.912713
extrados,265.134769,5.370852
extrados,268.850965,4.818268
extrados,272.565830,4.254880
extrados,276.279335,3.680595
extrados,279.991448,3.095317
extrados,283.702139,2.498939
extrados,287.411375,1.891344
extrados,291.119121,1.272412
extrados,294.825342,0.642010
extrados,298.530000,-0.000000
intrados,0.000000,0.000000
intrados,4.150753,-3.321602
intrados,8.023451,-4.338506
intrados,11.844898,-4.977703
intrados,15.637847,-5.422420
intrados,19.411482,-5.743806
intrados,23.170725,-5.978498
intrados,26.918633,-6.148385
intrados,30.657300,-6.267835
intrados,34.388254,-6.346918
intrados,38.112666,-6.393050
intrados,41.831468,-6.411897
intrados,45.545424,-6.407926
intrados,49.255175,-6.384745
intrados,52.961267,-6.345332
intrados,56.664176,-6.292184
intrados,60.364319,-6.227431
intrados,64.062067,-6.152914
intrados,67.757754,-6.070237
intrados,71.451679,-5.980818
intrados,75.144116,-5.885919
intrados,78.835316,-5.786670
intrados,82.525507,-5.684094
intrados,86.214903,-5.579117
intrados,89.903699,-5.472589
intrados,93.592078,-5.365288
intrados,97.280209,-5.257929
intrados,100.968251,-5.151179
intrados,104.656353,-5.045651
intrados,108.344652,-4.941921
intrados,112.033279,-4.840522
intrados,115.722357,-4.741955
intrados,119.412000,-4.646690
intrados,123.125266,-4.551484
intrados,126.838877,-4.453067
intrados,130.552874,-4.351824
intrados,134.267299,-4.248117
intrados,137.982189,-4.142286
intrados,141.697579,-4.034649
intrados,145.413505,-3.925508
intrados,149.129998,-3.815144
intrados,152.847090,-3.703821
intrados,156.564809,-3.591790
intrados,160.283184,-3.479281
intrados,164.002243,-3.366513
intrados,167.722009,-3.253690
intrados,171.442510,-3.141002
intrados,175.163767,-3.028625
intrados,178.885806,-2.916723
intrados,182.608647,-2.805447
intrados,186.332312,-2.694936
intrados,190.056824,-2.585319
intrados,193.782202,-2.476711
intrados,197.508467,-2.369217
intrados,201.235640,-2.262932
intrados,204.963739,-2.157940
intrados,208.692786,-2.054313
intrados,212.422799,-1.952114
intrados,216.153798,-1.851397
intrados,219.885804,-1.752204
intrados,223.618835,-1.654570
intrados,227.352913,-1.558517
intrados,231.088057,-1.464062
intrados,234.824290,-1.371207
intrados,238.561631,-1.279951
intrados,242.300103,-1.190280
intrados,246.039728,-1.102172
intrados,249.780529,-1.015596
intrados,253.522530,-0.930513
intrados,257.265755,-0.846875
intrados,261.010230,-0.764625
intrados,264.755981,-0.683698
intrados,268.503035,-0.604020
intrados,272.251420,-0.525509
intrados,276.001165,-0.448075
intrados,279.752302,-0.371620
intrados,283.504861,-0.296036
intrados,287.258875,-0.221209
intrados,291.014379,-0.147016
intrados,294.771408,-0.073326
intrados,298.530000,0.000000
