surface,x_mm,y_mm
extrados,0.000000,0.000000
extrados,3.290124,5.976782
extrados,6.892240,8.436341
extrados,10.552527,10.292417
extrados,14.245293,11.822145
extrados,17.960101,13.133164
extrados,21.691330,14.280912
extrados,25.435461,15.298518
extrados,29.190077,16.207737
extrados,32.953402,17.023819
extrados,36.724068,17.757994
extrados,40.500981,18.418849
extrados,44.283243,19.013152
extrados,48.070095,19.546373
extrados,51.860888,20.023023
extrados,55.655058,20.446890
extrados,59.452106,20.821205
extrados,63.251587,21.148754
extrados,67.053105,21.431975
extrados,70.856296,21.673015
extrados,74.660834,21.873787
extrados,78.466415,22.036005
extrados,82.272764,22.161218
extrados,86.079625,22.250831
extrados,89.886761,22.306131
extrados,93.693951,22.328294
extrados,97.500990,22.318408
extrados,101.307687,22.277476
extrados,105.113863,22.206431
extrados,108.919350,22.106139
extrados,112.723989,21.977409
extrados,116.527634,21.820997
extrados,120.330144,21.637612
extrados,124.101491,21.431679
extrados,127.872108,21.206693
extrados,131.641950,20.963236
extrados,135.410971,20.701852
extrados,139.179130,20.423055
extrados,142.946388,20.127326
extrados,146.712706,19.815118
extrados,150.478048,19.486855
extrados,154.242379,19.142937
extrados,158.005668,18.783738
extrados,161.767881,18.409608
extrados,165.528990,18.020877
extrados,169.288964,17.617851
extrados,173.047777,17.200815
extrados,176.805399,16.770036
extrados,180.561805,16.325760
extrados,184.316969,15.868214
extrados,188.070866,15.397609
extrados,191.823470,14.914135
extrados,195.574757,14.417969
extrados,199.324703,13.909267
extrados,203.073283,13.388170
extrados,206.820473,12.854806
extrados,210.566250,12.309282
extrados,214.310588,11.751694
extrados,218.053462,11.182121
extrados,221.794849,10.600627
extrados,225.534723,10.007262
extrados,229.273057,9.402061
extrados,233.009825,8.785045
extrados,236.745000,8.156222
extrados,240.478553,7.515585
extrados,244.210457,6.863113
extrados,247.940681,6.198773
extrados,251.669194,5.522518
extrados,255.395965,4.834286
extrados,259.120960,4.134006
extrados,262.844144,3.421590
extrados,266.565483,2.696940
extrados,270.284938,1.959943
extrados,274.002471,1.210474
extrados,277.718041,0.448398
extrados,281.431606,-0.326437
extrados,285.143123,-1.114191
extrados,288.852545,-1.915040
extrados,292.559826,-2.729168
extrados,296.264915,-3.556776
extrados,299.967760,-4.398072
intrados,0.000000,0.000000
intrados,4.219893,-5.348532
intrados,8.127451,-7.203276
intrados,11.976494,-8.477971
intrados,15.792715,-9.449755
intrados,19.586549,-10.226263
intrados,23.363621,-10.862936
intrados,27.127445,-11.392902
intrados,30.880442,-11.837915
intrados,34.624385,-12.213227
intrados,38.360644,-12.530067
intrados,42.090312,-12.797022
intrados,45.814288,-13.020860
intrados,49.533331,-13.207050
intrados,53.248088,-13.360105
intrados,56.959125,-13.483812
intrados,60.666941,-13.581401
intrados,64.371978,-13.655660
intrados,68.074637,-13.709025
intrados,71.775278,-13.743645
intrados,75.474230,-13.761431
intrados,79.171794,-13.764099
intrados,82.868246,-13.753196
intrados,86.563844,-13.730129
intrados,90.258823,-13.696183
intrados,93.953404,-13.652536
intrados,97.647792,-13.600274
intrados,101.342179,-13.540402
intrados,105.036743,-13.473851
intrados,108.731653,-13.401488
intrados,112.427066,-13.324123
intrados,116.123131,-13.242510
intrados,119.819987,-13.157360
intrados,123.547758,-13.066586
intrados,127.276105,-12.967175
intrados,131.005076,-12.859708
intrados,134.734714,-12.744731
intrados,138.465061,-12.622756
intrados,142.196158,-12.494264
intrados,145.928042,-12.359709
intrados,149.660748,-12.219514
intrados,153.394313,-12.074080
intrados,157.128768,-11.923780
intrados,160.864145,-11.768966
intrados,164.600474,-11.609966
intrados,168.337784,-11.447085
intrados,172.076105,-11.280611
intrados,175.815462,-11.110809
intrados,179.555883,-10.937926
intrados,183.297393,-10.762189
intrados,187.040018,-10.583807
intrados,190.783782,-10.402973
intrados,194.528712,-10.219862
intrados,198.274829,-10.034630
intrados,202.022160,-9.847420
intrados,205.770727,-9.658357
intrados,209.520556,-9.467550
intrados,213.271671,-9.275095
intrados,217.024096,-9.081070
intrados,220.777856,-8.885540
intrados,224.532977,-8.688554
intrados,228.289485,-8.490148
intrados,232.047406,-8.290343
intrados,235.806767,-8.089146
intrados,239.567597,-7.886550
intrados,243.329924,-7.682535
intrados,247.093779,-7.477068
intrados,250.859191,-7.270101
intrados,254.626193,-7.061573
intrados,258.394818,-6.851412
intrados,262.165101,-6.639531
intrados,265.937077,-6.425831
intrados,269.710784,-6.210200
intrados,273.486261,-5.992513
intrados,277.263547,-5.772633
intrados,281.042685,-5.550411
intrados,284.823720,-5.325685
intrados,288.606695,-5.098280
intrados,292.391661,-4.868011
intrados,296.178665,-4.634678
intrados,299.967760,-4.398072
