surface,x_mm,y_mm
extrados,0.000000,0.000000
extrados,3.471329,4.071014
extrados,7.155871,5.796663
extrados,10.881392,7.109540
extrados,14.629756,8.193370
extrados,18.393402,9.119481
extrados,22.168155,9.924595
extrados,25.951340,10.630646
extrados,29.741076,11.252031
extrados,33.535952,11.798840
extrados,37.334857,12.278501
extrados,41.136888,12.696692
extrados,44.941287,13.057889
extrados,48.747407,13.365709
extrados,52.554683,13.623137
extrados,56.362619,13.832681
extrados,60.170769,13.996479
extrados,63.978733,14.116379
extrados,67.786148,14.193999
extrados,71.592682,14.230765
extrados,75.398029,14.227949
extrados,79.201909,14.186695
extrados,83.004059,14.108036
extrados,86.804239,13.992913
extrados,90.602222,13.842188
extrados,94.397797,13.656651
extrados,98.190767,13.437036
extrados,101.980948,13.184021
extrados,105.768165,12.898236
extrados,109.552257,12.580271
extrados,113.333068,12.230677
extrados,117.110456,11.849971
extrados,120.884284,11.438639
extrados,124.620223,11.005996
extrados,128.354031,10.555146
extrados,132.085677,10.086478
extrados,135.815132,9.600360
extrados,139.542369,9.097136
extrados,143.267361,8.577132
extrados,146.990083,8.040653
extrados,150.710510,7.487986
extrados,154.428620,6.919401
extrados,158.144389,6.335151
extrados,161.857796,5.735475
extrados,165.568819,5.120596
extrados,169.277437,4.490722
extrados,172.983629,3.846049
extrados,176.687376,3.186758
extrados,180.388656,2.513018
extrados,184.087450,1.824986
extrados,187.783737,1.122806
extrados,191.477497,0.406612
extrados,195.168708,-0.323475
extrados,198.857350,-1.067345
extrados,202.543402,-1.824898
extrados,206.226840,-2.596044
extrados,209.907641,-3.380705
extrados,213.585784,-4.178811
extrados,217.261242,-4.990304
extrados,220.933990,-5.815135
extrados,224.604002,-6.653264
extrados,228.271250,-7.504660
extrados,231.935706,-8.369304
extrados,235.597339,-9.247181
extrados,239.256117,-10.138291
extrados,242.912008,-11.042638
extrados,246.564977,-11.960238
extrados,250.214988,-12.891113
extrados,253.862002,-13.835295
extrados,257.505979,-14.792825
extrados,261.146878,-15.763750
extrados,264.784655,-16.748128
extrados,268.419263,-17.746024
extrados,272.050654,-18.757509
extrados,275.678778,-19.782666
extrados,279.303582,-20.821583
extrados,282.925010,-21.874357
extrados,286.543004,-22.941091
extrados,290.157504,-24.021898
extrados,293.768447,-25.116898
extrados,297.375766,-26.226218
intrados,0.000000,0.000000
intrados,4.076260,-3.443165
intrados,7.935714,-4.581710
intrados,11.750596,-5.348230
intrados,15.539040,-5.926450
intrados,19.308609,-6.387697
intrados,23.063478,-6.768692
intrados,26.806321,-7.091371
intrados,30.539020,-7.370130
intrados,34.262985,-7.615059
intrados,37.979328,-7.833586
intrados,41.688951,-8.031390
intrados,45.392613,-8.212946
intrados,49.090960,-8.381871
intrados,52.784558,-8.541150
intrados,56.473903,-8.693291
intrados,60.159440,-8.840432
intrados,63.841569,-8.984422
intrados,67.520654,-9.126878
intrados,71.197026,-9.269225
intrados,74.870992,-9.412738
intrados,78.542831,-9.558558
intrados,82.212807,-9.707720
intrados,85.881159,-9.861164
intrados,89.548115,-10.019751
intrados,93.213886,-10.184274
intrados,96.878667,-10.355464
intrados,100.542645,-10.534000
intrados,104.205992,-10.720513
intrados,107.868872,-10.915591
intrados,111.531439,-11.119788
intrados,115.193835,-11.333618
intrados,118.856198,-11.557569
intrados,122.553855,-11.789636
intrados,126.252046,-12.021605
intrados,129.950801,-12.253866
intrados,133.650150,-12.486786
intrados,137.350120,-12.720711
intrados,141.050739,-12.955964
intrados,144.752030,-13.192851
intrados,148.454018,-13.431660
intrados,152.156727,-13.672660
intrados,155.860180,-13.916106
intrados,159.564397,-14.162234
intrados,163.269402,-14.411269
intrados,166.975214,-14.663418
intrados,170.681855,-14.918877
intrados,174.389344,-15.177828
intrados,178.097703,-15.440439
intrados,181.806951,-15.706868
intrados,185.517108,-15.977259
intrados,189.228196,-16.251744
intrados,192.940235,-16.530446
intrados,196.653247,-16.813474
intrados,200.367252,-17.100929
intrados,204.082273,-17.392901
intrados,207.798333,-17.689467
intrados,211.515456,-17.990696
intrados,215.233666,-18.296648
intrados,218.952989,-18.607373
intrados,222.673450,-18.922908
intrados,226.395079,-19.243285
intrados,230.117902,-19.568525
intrados,233.841952,-19.898640
intrados,237.567258,-20.233632
intrados,241.293856,-20.573497
intrados,245.021778,-20.918218
intrados,248.751061,-21.267773
intrados,252.481744,-21.622131
intrados,256.213866,-21.981250
intrados,259.947470,-22.345083
intrados,263.682599,-22.713573
intrados,267.419299,-23.086655
intrados,271.157619,-23.464256
intrados,274.897609,-23.846295
intrados,278.639322,-24.232683
intrados,282.382814,-24.623325
intrados,286.128143,-25.018115
intrados,289.875368,-25.416941
intrados,293.624554,-25.819685
intrados,297.375766,-26.226218
